#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>Backslash</b> do in <b>a buffer-local context</b>?<br><small>This config · leaders</small>	Local leader prefix; Salesforce SOQL drafts use it.<br><br><small>Exact notation: <code>\</code></small>	nvim config config::leaders context::buffer-local
What does <b>Shift+H</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Switch to the previous buffer; tabpages remain on gT.<br><br><small>Exact notation: <code>&lt;S-h&gt;</code></small>	nvim config config::buffers mode::normal
What does <b>Shift+L</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Switch to the next buffer; tabpages remain on gt.<br><br><small>Exact notation: <code>&lt;S-l&gt;</code></small>	nvim config config::buffers mode::normal
What does <b>[b</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Switch to the previous buffer.<br><br><small>Exact notation: <code>[b</code></small>	nvim config config::buffers mode::normal
What does <b>]b</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Switch to the next buffer.<br><br><small>Exact notation: <code>]b</code></small>	nvim config config::buffers mode::normal
What does <b>[B</b> do in <b>Normal mode</b>?<br><small>This config · bufferline</small>	Move the current bufferline entry left.<br><br><small>Exact notation: <code>[B</code></small>	nvim config config::bufferline mode::normal
What does <b>]B</b> do in <b>Normal mode</b>?<br><small>This config · bufferline</small>	Move the current bufferline entry right.<br><br><small>Exact notation: <code>]B</code></small>	nvim config config::bufferline mode::normal
What does <b>[a</b> do in <b>Normal mode</b>?<br><small>This config · arguments</small>	Go to the previous argument-list file.<br><br><small>Exact notation: <code>[a</code></small>	nvim config config::arguments mode::normal
What does <b>]a</b> do in <b>Normal mode</b>?<br><small>This config · arguments</small>	Go to the next argument-list file.<br><br><small>Exact notation: <code>]a</code></small>	nvim config config::arguments mode::normal
What does <b>[A</b> do in <b>Normal mode</b>?<br><small>This config · arguments</small>	Go to the first argument-list file.<br><br><small>Exact notation: <code>[A</code></small>	nvim config config::arguments mode::normal
